Type,Comment
Sexist,I do not believe women belong in politics.
Sexist,Who is going to do the washing and the dishes?
Sexist,What seems to be the problem with the third woman from the left !!!
Sexist,Did she clear this with her husband?
Sexist,Hope you ladies will enjoy being owned like goats when they get through with your rights.
Sexist,Why should we help the lgbts
Sexist,Women are maning up
Sexist, A muslum woman
Sexist,"Women, generally speaking, are not leaders, they become dictators."
Sexist,They say a woman’s work is never done
Sexist,Lesbians are bad influences
Sexist,"Is she qualified for the job or is being ""muslim and a woman"" all there is?"
Sexist,And her qualifications are??? Just that she’s a woman??
Sexist,Are you gays and trannys liking it yet?
Sexist,I was never a dress
Sexist,gays should be separated
Sexist,power should be monopolized by men
Sexist,Yet another crazy white guy.
Sexist,women can never follow men
Sexist,do you think women should have such power?
Sexist,Women are toys
Sexist,Another man with a gun.
Sexist,"What a petty, pathetic tiny “man”."
Sexist,Take it like a man
Sexist,Make it a crime for white women to cohabitate with white men.
Sexist,She’ll need to vote the way her man tells her at least.
Sexist,"I get they are women, but were they the most qualified?"
Sexist,one man equals two women.
Sexist,Men have a better control of their children. 
Sexist,transgender should not be voted
Sexist,Women are the cause for the weakening and destruction of Western Civilization. They shouldn't be allowed to vote.
Sexist,All men are disgusting
Sexist,A bunch of air headed emotional women in congress ? I think it will be a disaster
Sexist,"So, who is going to iron my shirt?"
Sexist,Stupid women
Sexist,FGM for every woman.
Sexist,White men are trash
Sexist,men always have issues
Sexist,men are good at sports
Sexist,I think all the gay dems excited about this should go to Iran and have a gay pride parade and see what happens.
Sexist,Men are far better single parents than women. 
Sexist,I'm surprised her husband even let her run.
Sexist,That's a woman???
Sexist,If there are gay people dumb enough to live in Ketucky they deserve what they get......
Sexist,I would never vote a woman
Sexist,What’s up with women these days
Sexist,Women are weak
Sexist,Freakin gay
Sexist,Go listen to your gay ass music now and don’t cry
Sexist,Fk you gays
Sexist,Look at your faceeee! ur a man right??
Sexist,go away! Bysexuals!
Sexist,Gay
Sexist,Why are so girly
Sexist,This is so gay
Sexist,you are as stupid as men are
Sexist,This he do is not what women would do
Sexist,women do better work than men can
Sexist,Why are there two guys touching each other
Sexist,This is the last response Im going to give to your homophobic ass
Sexist,Fuck gays
Sexist,aftermath of a woman with power is unspeakable
Sexist,"women, destinyed to not work"
Sexist,What’s up with gender inequality
Sexist,men’s high salary is compulsory
Sexist,That is gay
Sexist,Ban gender equality movements
Sexist,"man up, girl"
Sexist,it’s important for men to study
Sexist,Why do someone like someone with the same sex???
Sexist,Not a good idea to be gay or les
Sexist,Boys shouldn’t hit girls
Sexist,Just follow what men do
Sexist,who will play with the children?
Sexist,No more women in politics
Sexist,FUCK LGBT
Sexist,Marry a man with money
Sexist,Marry a woman with beauty
Sexist,Is changing gender necessary?
Sexist,LGBT is nonsense
Sexist,you can never catch up a man
Sexist,just one dad is what everyone all needs
Sexist,women should be thin
Sexist,men should be muscular
Sexist,people should love people with different sex
Sexist,Another white “man” terrorist
Sexist,There are only two sex in a society
Sexist,woman can play if theyre BEautifuL
Sexist,whts wrong with men earning higher income than women?
Sexist,"Geeees, talks like a woman"
Sexist,looks like a male to me…..
Sexist,is that a man or a woman?
Sexist,A solid glass ceiling please
Sexist,DON’T touch the glass ceiling
Sexist,what is wrong with gender discrimination?
Sexist,Who’ll clean the dishes?????
Racist,What is going on with white women? 
Racist,Is she going to wear that towel all the time?
Racist,White people
Racist,"Yes, three indians who are defending their filthy shithole country"
Racist,He looks pretty whacked
Racist,Another white in the making domestic terrorist.
Racist,Whites all around the cornea is crazy written all over.
Racist,Learn how to use a toilet 
Racist,Says the street shitter.
Racist,I hate stupid white people like that.
Racist,Sounds juuuust white
Racist,He looks sain to me LOL
Racist,you should know that it’s only white kids that shoot up schools
Racist,she sure looks deranged
Racist,what’s up with blacks with white clothes???
Racist,I trust Muslims as far as I can throw my car
Racist,Muslim Power.
Racist,it's black people who shoot up the neighborhoods.
Racist,"Is she qualified for the job or is being ""muslim and a woman"" all there is?"
Racist,Niggas was acting fucking dumb
Racist,crazy old white dude 
Racist,Destroy Islam.
Racist,Korea is acceptable but China…..
Racist,Whites should not bring a fight to blacks
Racist,What’s wrong with whites
Racist,why are you so orange?
Racist,Why would any western woman vote for any Muslim?
Racist,Do these people think any Muslim run country in the world is better then the US?
Racist,"Are white, Christian, Republican men going to grow up?"
Racist,Embarrassing old man with a pink mask
Racist,Muslims are going to destroy this country. 
Racist,How can people be so foolish as to vote a Muslim into office? 
Racist,muslims do NOT belong in American office for any reason!
Racist,Why are you orange Orange One?
Racist,will they demand all the women wear the towels on their heads?
Racist,he invited a 'white nationalist' to the WH.
Racist,I don't trust these Muslims in govt at all. 
Racist,Wake up America or you will be living in a country where these two Muslims belong.
Racist,Wow the jews must be celebrating the diversity they forced into white countries.
Racist,Muslims are not good for the U S.
Racist,White man kills wife and two girls
Racist,That so-called superior white race just keeps on giving. 
Racist,Good old white boy
Racist,I will never bow or support a Muslim.
Racist,Reduce the amount of religions in your country
Racist,Hindus are loud
Racist,Another angry white guy
Racist,Race is a factor in his arrest
Racist,Will she have a parking spot for her camel??
Racist,WHITE GUY WITH A GUN...! 
Racist,White men need to be corralled
Racist,"Oh well, it's ONLY one Muslim, what hurt could that do?"
Racist,Muslims are terrorists
Racist,What a surprise another white terrorist
Racist,I recommend that she wears a burkha
Racist,Never forget 9/11 and who attacked us.
Racist,YOU know this one hates Jews.
Racist,Sounds about white
Racist,Asians are smallll
Racist,"Islam isn't a race, it's a backward religion."
Racist,This is not the middle east this is America!!
Racist,"As usual, you can't trust that race"
Racist,Not American when you support Muslim
Racist,"Unless the killer was an Arab Muslim or illegal alien, mass shootings don't count!"
Racist,White terrorism.
Racist,It is important to get the guns away from white men so they can be treated the way that white people are treated in South Africa.
Racist,Why is she so black?
Racist,Notice they have all those photos posted above......yet none of them are of the white man who did this.......thats how white people protect their image.....
Racist,yeah it's okay we know it was a white dude
Racist,it's always white guys .....
Racist,THOSE MEXICANS!
Racist,"Sad day for all ""Americans""....."
Racist,I hope it was Jews that he shot.
Racist,Everyone plays soccer like Ronaldo in Portugal
Racist,So violent! r u a syrian
Racist,No more non-americans
Racist,UN-AMERICAN. 
Racist,I like how they mention immigrant and Muslim shooters but when it was a white dude
Racist,Math belongs to the asians
Racist,Africans are barbarians
Racist,americans have more beauty
Racist,American authorities are toooo nice
Racist,"Don't vote in anymore muslims, you made your point idiot people"
Racist,Muslim religion revolves around a man who enjoyed diddling little girls.
Racist,if a politician started with a Christian prayer the left would go nuts.
Racist,Whites are all with Trump
Racist,you white or black
Racist,Blacks don’t fight for their own damn country. they instead invade ours
Racist,"When a Christian makes attempt of praying in public atheist start crying about separation of church and State, but when Muslims do that liberals cheer."
Racist,jew americans better wake up
Racist,shooting blacks are okay
Racist,all blacks want to be privileged
Racist,"every time a black gets in power, bad things happen"
Racist,Your dog is black as you
Racist,YOURE NOT BLACK. YOURE WHITE
Racist,White = BOY
Racist,black men should work hard daily
Racist,a black guy everyday
Racist,that orange guy should stop talking
Racist,whites are following to the rules of an orange person
Personal Attack,Trump is a crazed and unstable madman with no humanity. 
Personal Attack,Trump is a fascist.
Personal Attack,The Dotard is an embarrassment to the USA.
Personal Attack,This film is insanely flawed
Personal Attack,If Westwood was looking after the safety and welfare of her neighbors she was doing what is suggested when there are strangers around the neighborhood
Personal Attack,I question why she was fired if she was not working and not representing the company.
Personal Attack,She isn't beautiful outside or in.
Personal Attack,Gross
Personal Attack,Stop your nonsense!
Personal Attack,Because Justin bieber makes shitty music
Personal Attack,Hailey is a very bad
Personal Attack,She is ugly
Personal Attack,You suck
Personal Attack,fuck you I hate yu
Personal Attack,Booooooo 
Personal Attack,ass whole
Personal Attack,This is what evil looks like
Personal Attack,Deport these illegals fucks
Personal Attack,That dude has the most punchable face I’ve seen in quite a while.
Personal Attack,it’s also true that u like to be racist
Personal Attack,you a IDIOT
Personal Attack,More of the same from the useless democrats.
Personal Attack,I hate him
Personal Attack,He is so smart he does not know what it means.
Personal Attack,He is an ugly rude no class punk
Personal Attack,She is a coward and dishonest
Personal Attack,Weakling
Personal Attack,So thin skinned. And irrational. Unprofessional.
Personal Attack,She knows all about being rude
Personal Attack,"What a snow flake little girl, pathetic."
Personal Attack,she is a BLACK RACIST
Personal Attack,F him!
Personal Attack,The media are liars and racists
Personal Attack,A sore loser.
Personal Attack,Looks insane
Personal Attack,"a coward, a liar, a rip off artist, a con man, a traitor, and a baby"
Personal Attack,Look at that goofy face
Personal Attack,he should be in a prison.
Personal Attack,Monster
Personal Attack,He looks loopy and scary
Personal Attack,This animal wasn't a father
Personal Attack,Something that looks like him would scare you to death.
Personal Attack,Selfish little psychopath
Personal Attack,frickin freak -
Personal Attack,This is where the death should be enforced
Personal Attack,Too bad the cops didn't shoot him
Personal Attack,What an idiot.
Personal Attack,I hope his fellow inmates deliver the sentence he deserves.
Personal Attack,"Another drugged up liberal wacko, ready to to crazy"
Personal Attack,terminate him slowly with maximum suffering please.
Personal Attack,what a coward
Personal Attack,The very definition of the word monster.
Personal Attack,why should he be allowed to live
Personal Attack,He looks a little freaky!
Personal Attack,Another loser
Personal Attack,You can obviously tell he has mental issues
Personal Attack,Look at this fool
Personal Attack,Dork.
Personal Attack,who are the idiots that voted for her ?
Personal Attack,His face does not seem real.
Personal Attack,He looks like a wacko!
Personal Attack,Absolutely PATHETIC.
Personal Attack,He's got those crazy liberal eyes.
Personal Attack,And they are all incompetent fools.
Personal Attack,This guy shouldn't be allowed to vote anywhere.
Personal Attack,Kill him now
Personal Attack,He wouldn't be able to sit down for a month after I got done with him I bet he wouldn't do it again.
Personal Attack,Idiots
Personal Attack,Hopefully they will wear their suicide vest on the first day 
Personal Attack,Sickening
Personal Attack,"Dangerous, sad and should be illegal."
Personal Attack,That's just stupid. 
Personal Attack,Your children are going to hate you.
Personal Attack,I would arrest him just for looking like that !! LOL!
Personal Attack,She needs to go AWAY!
Personal Attack,Just keep this guy in jail for life
Personal Attack,Crazy eyes
Personal Attack,How stupid of you!
Personal Attack,she was a loser...and NOW is a loser
Personal Attack,glad she is out.
Personal Attack,This is GROSS!
Personal Attack,This makes me SICK!
Personal Attack,stupid people believe this is liberalism.
Personal Attack,That is one ugly dude...
Personal Attack,He is a liar
Personal Attack,poor little homophobic witch.
Personal Attack,She is nothing but human waste
Personal Attack,Lock her up.
Personal Attack,Hideous and unemployed
Personal Attack,"Americans want to ban guns, so are they cool with stabbings?"
Personal Attack,You are unacceptable
Personal Attack,He thought most people were as racist as he is.
Personal Attack,"If I were on that jury, I'd wear a mask. That MAY help me to live through the trial."
Personal Attack,"Does he really deserve a ""humanitarian gesture""?"
Personal Attack,democrats want you all as slaves
Personal Attack,This idiot was probably a college reject. 
Personal Attack,Go home we have enough free loaders as it is.
Personal Attack,Such a horrid person
Personal Attack,I will have you executed
Personal Attack,You are not wanted here.
